,Series Name,Period,Frequency,Value,Units
0,"Henry Hub Natural Gas Spot Price, Daily",20201027,D,3.07,Dollars per Million Btu
1,"Henry Hub Natural Gas Spot Price, Daily",20201026,D,3.14,Dollars per Million Btu
2,"Henry Hub Natural Gas Spot Price, Daily",20201023,D,2.91,Dollars per Million Btu
3,"Henry Hub Natural Gas Spot Price, Daily",20201022,D,2.99,Dollars per Million Btu
4,"Henry Hub Natural Gas Spot Price, Daily",20201021,D,2.95,Dollars per Million Btu
5,"Henry Hub Natural Gas Spot Price, Daily",20201020,D,2.57,Dollars per Million Btu
6,"Henry Hub Natural Gas Spot Price, Daily",20201019,D,2.3,Dollars per Million Btu
7,"Henry Hub Natural Gas Spot Price, Daily",20201016,D,2.16,Dollars per Million Btu
8,"Henry Hub Natural Gas Spot Price, Daily",20201015,D,2.23,Dollars per Million Btu
9,"Henry Hub Natural Gas Spot Price, Daily",20201014,D,2.02,Dollars per Million Btu
10,"Henry Hub Natural Gas Spot Price, Daily",20201013,D,2.14,Dollars per Million Btu
11,"Henry Hub Natural Gas Spot Price, Daily",20201012,D,2.31,Dollars per Million Btu
12,"Henry Hub Natural Gas Spot Price, Daily",20201009,D,2.25,Dollars per Million Btu
13,"Henry Hub Natural Gas Spot Price, Daily",20201008,D,1.49,Dollars per Million Btu
14,"Henry Hub Natural Gas Spot Price, Daily",20201007,D,2.01,Dollars per Million Btu
15,"Henry Hub Natural Gas Spot Price, Daily",20201006,D,1.86,Dollars per Million Btu
16,"Henry Hub Natural Gas Spot Price, Daily",20201005,D,1.92,Dollars per Million Btu
17,"Henry Hub Natural Gas Spot Price, Daily",20201002,D,1.41,Dollars per Million Btu
18,"Henry Hub Natural Gas Spot Price, Daily",20201001,D,1.6,Dollars per Million Btu
19,"Henry Hub Natural Gas Spot Price, Daily",20200930,D,1.66,Dollars per Million Btu
20,"Henry Hub Natural Gas Spot Price, Daily",20200929,D,1.74,Dollars per Million Btu
21,"Henry Hub Natural Gas Spot Price, Daily",20200928,D,1.83,Dollars per Million Btu
22,"Henry Hub Natural Gas Spot Price, Daily",20200925,D,1.9,Dollars per Million Btu
23,"Henry Hub Natural Gas Spot Price, Daily",20200924,D,1.93,Dollars per Million Btu
24,"Henry Hub Natural Gas Spot Price, Daily",20200923,D,1.74,Dollars per Million Btu
25,"Henry Hub Natural Gas Spot Price, Daily",20200922,D,1.49,Dollars per Million Btu
26,"Henry Hub Natural Gas Spot Price, Daily",20200921,D,1.33,Dollars per Million Btu
27,"Henry Hub Natural Gas Spot Price, Daily",20200918,D,1.56,Dollars per Million Btu
28,"Henry Hub Natural Gas Spot Price, Daily",20200917,D,1.65,Dollars per Million Btu
29,"Henry Hub Natural Gas Spot Price, Daily",20200916,D,2.06,Dollars per Million Btu
30,"Henry Hub Natural Gas Spot Price, Daily",20200915,D,2.19,Dollars per Million Btu
31,"Henry Hub Natural Gas Spot Price, Daily",20200914,D,2.18,Dollars per Million Btu
32,"Henry Hub Natural Gas Spot Price, Daily",20200911,D,1.93,Dollars per Million Btu
