Date,GBP
2020-01-08,0.8486799999999999
2020-01-07,0.85183
2020-01-06,0.85215
2020-01-03,0.85115
2020-01-02,0.8482799999999999
2019-12-31,0.8508
2019-12-30,0.85208
2019-12-27,0.8513
2019-12-24,0.8553299999999999
2019-12-23,0.85708
2019-12-20,0.8513299999999999
2019-12-19,0.8507299999999999
2019-12-18,0.85055
2019-12-17,0.8474799999999999
2019-12-16,0.83415
2019-12-13,0.8350799999999999
2019-12-12,0.8456
2019-12-11,0.84245
2019-12-10,0.84073
2019-12-09,0.84195
2019-12-06,0.8445299999999999
2019-12-05,0.8447
2019-12-04,0.8461
2019-12-03,0.852
2019-12-02,0.8521799999999999
2019-11-29,0.85225
2019-11-28,0.8518
2019-11-27,0.8545
2019-11-26,0.85715
2019-11-25,0.85515
2019-11-22,0.8598
2019-11-21,0.8554799999999999
2019-11-20,0.85715
2019-11-19,0.8557299999999999
2019-11-18,0.8533
2019-11-15,0.8566
2019-11-14,0.8564299999999999
2019-11-13,0.8576
2019-11-12,0.8582
2019-11-11,0.8574299999999999
2019-11-08,0.8615799999999999
2019-11-07,0.8644200000000001
2019-11-06,0.8603299999999999
