,Crypto,Date,Low,High,Open,Close,Volume
236,LTC,2020-03-08,50.5,60.55,60.54,51.15,338369.64860501
237,LTC,2020-03-07,59.98,63.98,63.36,60.57,123692.29551015
238,LTC,2020-03-06,61.28,63.9,62.02,63.37,132823.74866296
239,LTC,2020-03-05,60.36,63.38,60.39,62.01,155971.38889699
240,LTC,2020-03-04,58.81,61.8,61.01,60.36,122573.91835519
241,LTC,2020-03-03,59.29,62.44,61.47,61.0,158871.60446699
242,LTC,2020-03-02,57.24,62.38,57.64,61.47,189786.58415082
243,LTC,2020-03-01,56.05,60.27,58.07,57.63,161664.63754828
244,LTC,2020-02-29,57.91,61.78,59.98,58.04,139340.16648839
245,LTC,2020-02-28,56.35,63.4,61.77,59.99,255604.40128573
246,LTC,2020-02-27,57.1,65.87,60.53,61.76,329838.19095444
247,LTC,2020-02-26,57.52,72.16,70.92,60.42,484846.89580407
248,LTC,2020-02-25,69.3,76.12,75.55,70.96,191265.89901079
249,LTC,2020-02-24,71.8,80.04,79.79,75.55,236081.1142491
250,LTC,2020-02-23,74.7,80.75,74.87,79.8,196301.3236778
251,LTC,2020-02-22,72.45,76.83,73.42,74.88,145729.68596392
252,LTC,2020-02-21,68.7,75.31,69.49,73.41,180149.6617431
253,LTC,2020-02-20,66.0,72.4,70.6,69.55,241394.28427495
254,LTC,2020-02-19,67.78,79.75,77.36,70.67,292531.09318362
255,LTC,2020-02-18,70.22,79.17,73.43,77.4,197957.87337282
256,LTC,2020-02-17,68.58,75.47,74.65,73.43,210622.17975777
257,LTC,2020-02-16,67.28,80.8,76.76,74.7,345742.89307363
258,LTC,2020-02-15,74.84,83.72,83.34,76.74,269228.69580315
259,LTC,2020-02-14,78.6,83.96,80.59,83.31,189594.3530544
260,LTC,2020-02-13,77.25,84.5,81.37,80.55,318910.87959203
261,LTC,2020-02-12,76.62,82.9,76.81,81.37,299230.97326237
262,LTC,2020-02-11,72.46,77.55,74.0,76.81,197534.83528138
263,LTC,2020-02-10,72.5,77.5,77.09,73.98,170789.96434716
264,LTC,2020-02-09,75.0,78.45,76.66,77.05,174507.04975649
265,LTC,2020-02-08,71.53,77.92,74.28,76.67,227062.19559548
266,LTC,2020-02-07,72.76,75.43,73.45,74.25,178898.92017792
267,LTC,2020-02-06,70.92,75.0,72.59,73.45,220326.46181563
268,LTC,2020-02-05,67.43,73.46,67.83,72.56,217673.04794635
269,LTC,2020-02-04,66.51,70.46,69.59,67.84,152382.59398695
270,LTC,2020-02-03,68.2,72.91,69.83,69.55,212427.37439651
271,LTC,2020-02-02,67.64,73.33,70.69,69.82,242634.35849274
272,LTC,2020-02-01,67.53,72.9,67.96,70.69,277993.80303612
273,LTC,2020-01-31,65.22,69.8,67.84,67.96,262115.19613835
274,LTC,2020-01-30,58.1,70.12,59.66,67.82,409353.58615573
275,LTC,2020-01-29,59.32,62.4,60.62,59.62,215676.30155165
