,Crypto,Date,Low,High,Open,Close,Volume
0,XLM,2020-10-30,0.074457,0.078667,0.077649,0.076819,34533972
1,XLM,2020-10-29,0.075419,0.078964,0.078352,0.077573,38409422
2,XLM,2020-10-28,0.077413,0.082252,0.081747,0.078369,41638884
3,XLM,2020-10-27,0.081034,0.083193,0.081209,0.08177,37076460
4,XLM,2020-10-26,0.079856,0.084586,0.083161,0.081144,36737983
5,XLM,2020-10-25,0.082125,0.085851,0.085634,0.083177,24604253
6,XLM,2020-10-24,0.083381,0.086291,0.083774,0.085615,23602002
7,XLM,2020-10-23,0.08272,0.08647,0.085637,0.083795,31411857
8,XLM,2020-10-22,0.083712,0.087925,0.083825,0.085586,56562665
9,XLM,2020-10-21,0.080452,0.086657,0.080917,0.083896,65043911
10,XLM,2020-10-20,0.0805,0.086852,0.085189,0.080918,56075478
11,XLM,2020-10-19,0.079387,0.087473,0.079468,0.085177,98635785
12,XLM,2020-10-18,0.079185,0.08219,0.081529,0.079468,42070858
13,XLM,2020-10-17,0.077634,0.08432,0.079293,0.081606,115805055
14,XLM,2020-10-16,0.072084,0.079293,0.074104,0.079293,57470731
15,XLM,2020-10-15,0.071835,0.07445,0.07405,0.074039,22915371
16,XLM,2020-10-14,0.0735,0.076839,0.076463,0.074098,19207009
17,XLM,2020-10-13,0.075447,0.07762,0.077603,0.076463,18320486
18,XLM,2020-10-12,0.076003,0.079291,0.07724,0.07751,23927315
19,XLM,2020-10-11,0.076736,0.078862,0.077356,0.077132,19397424
20,XLM,2020-10-10,0.075004,0.078501,0.075004,0.077273,28893131
21,XLM,2020-10-09,0.07248,0.0759,0.073101,0.075076,25052677
22,XLM,2020-10-08,0.07025,0.073456,0.072335,0.073237,23428158
23,XLM,2020-10-07,0.070575,0.073282,0.072416,0.072253,23830209
24,XLM,2020-10-06,0.071622,0.075343,0.073309,0.072433,38027986
25,XLM,2020-10-05,0.072317,0.07416,0.072944,0.073303,23473309
26,XLM,2020-10-04,0.070323,0.073402,0.071013,0.072866,15286244
27,XLM,2020-10-03,0.070556,0.072129,0.070952,0.071018,16154196
28,XLM,2020-10-02,0.068808,0.073952,0.073155,0.070941,56035191
29,XLM,2020-10-01,0.071338,0.0763,0.0749,0.073111,37150840
30,XLM,2020-09-30,0.07206,0.075051,0.074107,0.074818,28603951
31,XLM,2020-09-29,0.072027,0.074987,0.073161,0.074111,34514372
32,XLM,2020-09-28,0.0725,0.075999,0.073367,0.073206,29282238
33,XLM,2020-09-27,0.07123,0.07448,0.073804,0.073443,22794084
34,XLM,2020-09-26,0.072564,0.076402,0.074648,0.07389,19992784
35,XLM,2020-09-25,0.069108,0.075853,0.070513,0.074752,49838603
36,XLM,2020-09-24,0.066738,0.070788,0.06737,0.070513,41876254
37,XLM,2020-09-23,0.067002,0.07225,0.071742,0.067295,41733538
38,XLM,2020-09-22,0.069497,0.07225,0.070015,0.071742,29354008
39,XLM,2020-09-21,0.06897,0.077397,0.076844,0.069945,68955923
40,XLM,2020-09-20,0.075229,0.078615,0.078486,0.07689,28418764
41,XLM,2020-09-19,0.077061,0.07944,0.078306,0.078496,19038235
42,XLM,2020-09-18,0.0771,0.080676,0.080389,0.078256,40825400
43,XLM,2020-09-17,0.078003,0.082205,0.079993,0.080388,29107467
44,XLM,2020-09-16,0.075,0.081349,0.07784,0.079946,51383851
45,XLM,2020-09-15,0.07751,0.081532,0.080175,0.077821,34291523
46,XLM,2020-09-14,0.078741,0.082008,0.07997,0.080175,30077563
47,XLM,2020-09-13,0.07911,0.084553,0.083842,0.080051,30984084
48,XLM,2020-09-12,0.0822,0.084741,0.083798,0.083894,27178854
49,XLM,2020-09-11,0.07914,0.084568,0.081225,0.083803,40882453
50,XLM,2020-09-10,0.078194,0.083211,0.078209,0.081145,46047406
51,XLM,2020-09-09,0.075515,0.079789,0.077385,0.078251,43042523
52,XLM,2020-09-08,0.075041,0.079536,0.07883,0.077385,43610492
53,XLM,2020-09-07,0.07392,0.079144,0.07733,0.078798,42375233
54,XLM,2020-09-06,0.072593,0.078962,0.075436,0.077388,58192356
55,XLM,2020-09-05,0.072638,0.082994,0.081534,0.075569,74921464
56,XLM,2020-09-04,0.075404,0.08288,0.0783,0.081534,87121052
57,XLM,2020-09-03,0.0783,0.093014,0.092379,0.0783,76182772
58,XLM,2020-09-02,0.09,0.0998,0.098826,0.092481,72618135
59,XLM,2020-09-01,0.095585,0.101318,0.096748,0.098826,49744951
60,XLM,2020-08-31,0.0951,0.098881,0.098205,0.096744,36611928
61,XLM,2020-08-30,0.09616,0.09839,0.096294,0.098204,29373521
62,XLM,2020-08-29,0.094449,0.097585,0.095703,0.096269,26411764
63,XLM,2020-08-28,0.092544,0.09674,0.093815,0.095701,35122943
64,XLM,2020-08-27,0.09031,0.098911,0.098158,0.093798,63825809
65,XLM,2020-08-26,0.096016,0.100434,0.097277,0.098152,38783057
66,XLM,2020-08-25,0.095079,0.103163,0.103022,0.097272,59036945
67,XLM,2020-08-24,0.101,0.1065,0.10288,0.103023,47254417
68,XLM,2020-08-23,0.0985,0.1032,0.102283,0.102879,43632571
69,XLM,2020-08-22,0.096957,0.102675,0.099652,0.102264,60555959
70,XLM,2020-08-21,0.099,0.109424,0.107353,0.099636,116889926
71,XLM,2020-08-20,0.100284,0.107481,0.102138,0.107353,73171181
72,XLM,2020-08-19,0.098625,0.10966,0.108265,0.102138,106899102
73,XLM,2020-08-18,0.105252,0.116899,0.113847,0.108264,80180413
74,XLM,2020-08-17,0.11,0.119724,0.115411,0.11383,175373799
75,XLM,2020-08-16,0.10375,0.1166,0.107075,0.115242,160332747
76,XLM,2020-08-15,0.103124,0.109408,0.104948,0.107103,85088665
77,XLM,2020-08-14,0.100195,0.107221,0.101252,0.104947,78848050
78,XLM,2020-08-13,0.096651,0.102678,0.101412,0.101314,72539175
79,XLM,2020-08-12,0.0955,0.102479,0.100091,0.101412,57503212
80,XLM,2020-08-11,0.09621,0.108471,0.106328,0.100176,64697870
81,XLM,2020-08-10,0.102893,0.106945,0.105251,0.106393,46338704
82,XLM,2020-08-09,0.10259,0.107282,0.103371,0.105158,55262086
83,XLM,2020-08-08,0.101361,0.104444,0.10302,0.103359,36891537
84,XLM,2020-08-07,0.099483,0.107945,0.106331,0.103131,49082627
85,XLM,2020-08-06,0.104359,0.1082,0.107517,0.106323,42345988
86,XLM,2020-08-05,0.1064,0.11172,0.110137,0.107609,48331571
87,XLM,2020-08-04,0.105186,0.111756,0.105295,0.110138,65168125
88,XLM,2020-08-03,0.10128,0.109256,0.102522,0.105226,69092596
89,XLM,2020-08-02,0.095,0.116692,0.107628,0.102647,153760260
90,XLM,2020-08-01,0.096818,0.10899,0.097021,0.107762,137906590
91,XLM,2020-07-31,0.095,0.097224,0.096384,0.097026,38021192
92,XLM,2020-07-30,0.094375,0.097826,0.09514,0.096356,35617976
93,XLM,2020-07-29,0.094541,0.09981,0.097265,0.09514,58499828
94,XLM,2020-07-28,0.093443,0.098609,0.094974,0.097257,59900766
95,XLM,2020-07-27,0.088264,0.100128,0.099206,0.094859,114665806
96,XLM,2020-07-26,0.097333,0.105962,0.100914,0.099118,75303576
97,XLM,2020-07-25,0.095186,0.101479,0.095787,0.10093,54037791
98,XLM,2020-07-24,0.094904,0.098347,0.098236,0.095858,40736174
99,XLM,2020-07-23,0.096877,0.101678,0.097539,0.098336,70835353
