,Crypto,Date,Low,High,Open,Close,Volume
57,REP,2020-09-03,15.55,21.0,20.87,16.64,146268.798209
58,REP,2020-09-02,20.15,22.54,21.86,20.97,76157.654936
59,REP,2020-09-01,21.42,22.7,22.14,21.86,79065.394925
60,REP,2020-08-31,22.02,23.0,22.72,22.16,35751.665201
61,REP,2020-08-30,21.9,23.46,23.13,22.68,78919.576774
62,REP,2020-08-29,22.04,23.5,22.8,23.08,75264.022806
63,REP,2020-08-28,21.19,23.19,21.62,22.85,114071.26049
64,REP,2020-08-27,21.2,24.5,23.59,21.65,132631.203989
65,REP,2020-08-26,21.1,27.0,22.05,23.59,283434.674924
66,REP,2020-08-25,20.94,24.65,24.25,22.08,199276.019139
67,REP,2020-08-24,23.3,27.45,24.97,24.22,268861.855005
68,REP,2020-08-23,24.0,27.75,27.41,24.97,328186.345068
69,REP,2020-08-22,25.2,37.0,31.51,27.44,1503103.473729
70,REP,2020-08-21,20.57,34.79,20.72,31.8,1102876.289312
71,REP,2020-08-20,19.56,21.4,19.98,20.71,51181.482592
72,REP,2020-08-19,19.53,20.93,20.91,19.98,37657.40303
73,REP,2020-08-18,19.92,22.06,21.73,20.91,72749.664364
74,REP,2020-08-17,21.32,22.51,22.48,21.73,65188.57846
75,REP,2020-08-16,20.76,22.74,21.76,22.47,82330.365391
76,REP,2020-08-15,20.67,22.55,21.74,21.77,97948.041337
77,REP,2020-08-14,20.59,21.78,20.89,21.74,73685.860586
78,REP,2020-08-13,20.0,21.67,20.83,20.91,79367.569001
79,REP,2020-08-12,19.88,21.28,20.45,20.86,42800.888214
80,REP,2020-08-11,19.86,21.44,21.35,20.49,60871.48851
81,REP,2020-08-10,20.75,22.3,21.94,21.35,68902.949435
82,REP,2020-08-09,20.82,22.0,21.33,21.9,76401.837914
83,REP,2020-08-08,20.73,21.45,20.82,21.33,50414.469733
84,REP,2020-08-07,19.68,21.71,21.6,20.82,44401.118492
85,REP,2020-08-06,20.82,21.8,21.49,21.6,43321.649217
86,REP,2020-08-05,20.67,22.25,21.0,21.54,54659.992908
87,REP,2020-08-04,20.25,23.6,20.46,21.05,119163.05151
88,REP,2020-08-03,18.78,21.5,18.97,20.43,73357.774096
89,REP,2020-08-02,18.8,21.05,20.72,18.95,97633.877824
90,REP,2020-08-01,20.0,21.0,20.46,20.7,79604.500711
