Date,CL Fut,CL Spot,NG Fut,NG Spot
20200323,23.36,23.33,1.602,1.7
20200320,22.43,19.48,1.604,1.76
20200319,25.22,25.09,1.654,1.68
20200318,20.37,20.48,1.604,1.73
20200317,26.95,26.96,1.729,1.89
20200316,28.7,28.96,1.815,1.89
20200313,31.73,31.72,1.869,1.94
20200312,31.5,31.56,1.841,1.82
20200311,32.98,33.13,1.878,1.96
20200310,34.36,34.47,1.936,1.91
20200309,31.13,31.05,1.778,1.74
20200306,41.28,41.14,1.7080000000000002,1.76
20200305,45.9,45.9,1.7719999999999998,1.89
20200304,46.78,46.78,1.827,1.83
20200303,47.18,47.27,1.8,1.78
20200302,46.75,46.78,1.756,1.75
20200228,44.76,44.83,1.6840000000000002,1.79
20200227,47.09,47.17,1.7519999999999998,1.78
20200226,48.73,48.67,1.821,1.96
20200225,49.9,49.78,1.847,1.93
20200224,51.43,51.36,1.827,1.94
20200221,53.38,53.36,1.905,1.96
20200220,53.78,53.77,1.92,1.98
20200219,53.29,53.31,1.955,2.01
20200218,52.05,52.1,1.981,2.04
20200217,52.05,52.03,1.837,1.93
20200214,52.05,52.03,1.837,1.93
20200213,51.42,51.41,1.826,1.95
20200212,51.17,51.13,1.844,1.91
20200211,49.94,50.0,1.788,1.85
20200210,49.57,49.59,1.766,1.85
20200207,50.32,50.34,1.858,1.93
20200206,50.95,50.94,1.862,1.86
20200205,50.75,50.87,1.861,1.89
20200204,49.61,49.59,1.872,1.89
20200203,50.11,50.06,1.819,1.9
20200131,51.56,51.58,1.841,1.91
20200130,52.14,52.19,1.829,1.94
20200129,53.33,53.29,1.877,1.93
20200128,53.48,53.33,1.934,1.96
20200127,53.14,53.09,1.902,2.03
20200124,54.19,54.09,1.893,1.91
20200123,55.59,55.51,1.926,1.95
20200122,56.74,56.76,1.905,1.89
20200121,58.34,58.25,1.895,1.98
20200117,58.54,58.55,2.003,2.07
20200116,58.52,58.52,2.077,2.06
20200115,57.81,57.86,2.12,2.01
20200114,58.23,58.34,2.187,2.15
20200113,58.08,58.17,2.182,2.03
20200110,59.04,59.02,2.202,2.05
20200109,59.56,59.56,2.166,2.05
20200108,59.61,59.65,2.141,2.09
20200107,62.7,62.7,2.162,2.17
20200106,63.27,63.27,2.135,2.1
20200103,63.05,63.0,2.13,2.06
20200102,61.18,61.17,2.122,2.05
20200101,61.06,61.14,2.189,2.09
20191231,61.06,61.14,2.189,2.09
20191230,61.68,61.66,2.186,2.06
20191227,61.72,61.76,2.158,1.75
20191226,61.68,61.72,2.294,2.09
20191225,61.11,61.17,2.172,2.11
20191224,61.11,61.17,2.172,2.11
20191223,60.52,60.51,2.214,2.17
20191220,60.44,60.43,2.3280000000000003,2.27
20191219,61.22,61.3,2.273,2.21
20191218,60.93,60.93,2.286,2.26
20191217,60.94,60.88,2.319,2.3
20191216,60.21,60.21,2.341,2.34
20191213,60.07,60.11,2.296,2.28
20191212,59.18,59.18,2.3280000000000003,2.28
20191211,58.76,58.74,2.2430000000000003,2.28
20191210,59.24,59.22,2.264,2.18
20191209,59.02,58.99,2.232,2.17
20191206,59.2,59.2,2.334,2.31
20191205,58.43,58.42,2.427,2.42
20191204,58.43,58.46,2.399,2.43
20191203,56.1,56.15,2.441,2.42
20191202,55.96,55.97,2.329,2.29
20191127,58.11,58.12,2.501,2.46
20191126,58.41,58.25,2.47,2.51
20191125,58.01,57.79,2.531,2.51
20191122,57.77,57.68,2.665,2.62
20191121,58.58,58.36,2.567,2.53
20191120,57.11,56.71,2.559,2.56
20191119,55.21,54.93,2.51,2.53
20191118,57.05,56.82,2.5660000000000003,2.64
20191115,57.72,57.54,2.688,2.7
20191114,56.77,56.57,2.647,2.68
20191113,57.12,56.88,2.6,2.66
20191112,56.8,56.67,2.6210000000000004,2.72
20191111,56.86,56.61,2.637,2.87
20191108,57.24,57.02,2.789,2.87
20191107,57.15,56.91,2.772,2.84
20191106,56.35,56.15,2.8280000000000003,2.82
20191105,57.23,57.04,2.862,2.77
20191104,56.54,56.33,2.821,2.77
20191101,56.2,56.04,2.714,2.54
20191031,54.18,54.02,2.633,2.73
