Index,Series Name,Period,Frequency,Value,Units
69,"Henry Hub Natural Gas Spot Price, Daily",20200728,D,1.83,Dollars per Million Btu
70,"Henry Hub Natural Gas Spot Price, Daily",20200727,D,1.85,Dollars per Million Btu
71,"Henry Hub Natural Gas Spot Price, Daily",20200724,D,1.77,Dollars per Million Btu
72,"Henry Hub Natural Gas Spot Price, Daily",20200723,D,1.75,Dollars per Million Btu
73,"Henry Hub Natural Gas Spot Price, Daily",20200722,D,1.69,Dollars per Million Btu
74,"Henry Hub Natural Gas Spot Price, Daily",20200721,D,1.66,Dollars per Million Btu
75,"Henry Hub Natural Gas Spot Price, Daily",20200720,D,1.71,Dollars per Million Btu
76,"Henry Hub Natural Gas Spot Price, Daily",20200717,D,1.79,Dollars per Million Btu
77,"Henry Hub Natural Gas Spot Price, Daily",20200716,D,1.79,Dollars per Million Btu
78,"Henry Hub Natural Gas Spot Price, Daily",20200715,D,1.76,Dollars per Million Btu
79,"Henry Hub Natural Gas Spot Price, Daily",20200714,D,1.74,Dollars per Million Btu
80,"Henry Hub Natural Gas Spot Price, Daily",20200713,D,1.75,Dollars per Million Btu
81,"Henry Hub Natural Gas Spot Price, Daily",20200710,D,1.79,Dollars per Million Btu
82,"Henry Hub Natural Gas Spot Price, Daily",20200709,D,1.88,Dollars per Million Btu
83,"Henry Hub Natural Gas Spot Price, Daily",20200708,D,1.78,Dollars per Million Btu
84,"Henry Hub Natural Gas Spot Price, Daily",20200707,D,1.76,Dollars per Million Btu
85,"Henry Hub Natural Gas Spot Price, Daily",20200706,D,1.71,Dollars per Million Btu
86,"Henry Hub Natural Gas Spot Price, Daily",20200703,D,0.0,Dollars per Million Btu
87,"Henry Hub Natural Gas Spot Price, Daily",20200701,D,1.69,Dollars per Million Btu
88,"Henry Hub Natural Gas Spot Price, Daily",20200630,D,1.76,Dollars per Million Btu
89,"Henry Hub Natural Gas Spot Price, Daily",20200629,D,1.67,Dollars per Million Btu
90,"Henry Hub Natural Gas Spot Price, Daily",20200626,D,1.42,Dollars per Million Btu
91,"Henry Hub Natural Gas Spot Price, Daily",20200625,D,1.53,Dollars per Million Btu
92,"Henry Hub Natural Gas Spot Price, Daily",20200624,D,1.64,Dollars per Million Btu
93,"Henry Hub Natural Gas Spot Price, Daily",20200623,D,1.61,Dollars per Million Btu
94,"Henry Hub Natural Gas Spot Price, Daily",20200622,D,1.64,Dollars per Million Btu
95,"Henry Hub Natural Gas Spot Price, Daily",20200619,D,1.49,Dollars per Million Btu
96,"Henry Hub Natural Gas Spot Price, Daily",20200618,D,1.51,Dollars per Million Btu
97,"Henry Hub Natural Gas Spot Price, Daily",20200617,D,1.55,Dollars per Million Btu
98,"Henry Hub Natural Gas Spot Price, Daily",20200616,D,1.43,Dollars per Million Btu
