Index,Series Name,Period,Frequency,Value,Units
66,"Cushing, OK Crude Oil Future Contract 1, Daily",20200731,D,40.27,Dollars per Barrel
67,"Cushing, OK Crude Oil Future Contract 1, Daily",20200730,D,39.92,Dollars per Barrel
68,"Cushing, OK Crude Oil Future Contract 1, Daily",20200729,D,41.27,Dollars per Barrel
69,"Cushing, OK Crude Oil Future Contract 1, Daily",20200728,D,41.04,Dollars per Barrel
70,"Cushing, OK Crude Oil Future Contract 1, Daily",20200727,D,41.6,Dollars per Barrel
71,"Cushing, OK Crude Oil Future Contract 1, Daily",20200724,D,41.29,Dollars per Barrel
72,"Cushing, OK Crude Oil Future Contract 1, Daily",20200723,D,41.07,Dollars per Barrel
73,"Cushing, OK Crude Oil Future Contract 1, Daily",20200722,D,41.9,Dollars per Barrel
74,"Cushing, OK Crude Oil Future Contract 1, Daily",20200721,D,41.96,Dollars per Barrel
75,"Cushing, OK Crude Oil Future Contract 1, Daily",20200720,D,40.81,Dollars per Barrel
76,"Cushing, OK Crude Oil Future Contract 1, Daily",20200717,D,40.59,Dollars per Barrel
77,"Cushing, OK Crude Oil Future Contract 1, Daily",20200716,D,40.75,Dollars per Barrel
78,"Cushing, OK Crude Oil Future Contract 1, Daily",20200715,D,41.2,Dollars per Barrel
79,"Cushing, OK Crude Oil Future Contract 1, Daily",20200714,D,40.29,Dollars per Barrel
80,"Cushing, OK Crude Oil Future Contract 1, Daily",20200713,D,40.1,Dollars per Barrel
81,"Cushing, OK Crude Oil Future Contract 1, Daily",20200710,D,40.55,Dollars per Barrel
82,"Cushing, OK Crude Oil Future Contract 1, Daily",20200709,D,39.62,Dollars per Barrel
83,"Cushing, OK Crude Oil Future Contract 1, Daily",20200708,D,40.9,Dollars per Barrel
84,"Cushing, OK Crude Oil Future Contract 1, Daily",20200707,D,40.62,Dollars per Barrel
85,"Cushing, OK Crude Oil Future Contract 1, Daily",20200706,D,40.63,Dollars per Barrel
86,"Cushing, OK Crude Oil Future Contract 1, Daily",20200703,D,40.65,Dollars per Barrel
87,"Cushing, OK Crude Oil Future Contract 1, Daily",20200702,D,40.65,Dollars per Barrel
88,"Cushing, OK Crude Oil Future Contract 1, Daily",20200701,D,39.82,Dollars per Barrel
89,"Cushing, OK Crude Oil Future Contract 1, Daily",20200630,D,39.27,Dollars per Barrel
90,"Cushing, OK Crude Oil Future Contract 1, Daily",20200629,D,39.7,Dollars per Barrel
91,"Cushing, OK Crude Oil Future Contract 1, Daily",20200626,D,38.49,Dollars per Barrel
92,"Cushing, OK Crude Oil Future Contract 1, Daily",20200625,D,38.72,Dollars per Barrel
93,"Cushing, OK Crude Oil Future Contract 1, Daily",20200624,D,38.01,Dollars per Barrel
94,"Cushing, OK Crude Oil Future Contract 1, Daily",20200623,D,40.37,Dollars per Barrel
95,"Cushing, OK Crude Oil Future Contract 1, Daily",20200622,D,40.46,Dollars per Barrel
96,"Cushing, OK Crude Oil Future Contract 1, Daily",20200619,D,39.75,Dollars per Barrel
97,"Cushing, OK Crude Oil Future Contract 1, Daily",20200618,D,38.84,Dollars per Barrel
98,"Cushing, OK Crude Oil Future Contract 1, Daily",20200617,D,37.96,Dollars per Barrel
99,"Cushing, OK Crude Oil Future Contract 1, Daily",20200616,D,38.38,Dollars per Barrel
100,"Cushing, OK Crude Oil Future Contract 1, Daily",20200615,D,37.12,Dollars per Barrel
101,"Cushing, OK Crude Oil Future Contract 1, Daily",20200612,D,36.26,Dollars per Barrel
102,"Cushing, OK Crude Oil Future Contract 1, Daily",20200611,D,36.34,Dollars per Barrel
103,"Cushing, OK Crude Oil Future Contract 1, Daily",20200610,D,39.6,Dollars per Barrel
104,"Cushing, OK Crude Oil Future Contract 1, Daily",20200609,D,38.94,Dollars per Barrel
105,"Cushing, OK Crude Oil Future Contract 1, Daily",20200608,D,38.19,Dollars per Barrel
106,"Cushing, OK Crude Oil Future Contract 1, Daily",20200605,D,39.55,Dollars per Barrel
