Index,Series Name,Period,Frequency,Value,Units
76,"Cushing, OK WTI Spot Price FOB, Daily",20200717,D,40.55,Dollars per Barrel
77,"Cushing, OK WTI Spot Price FOB, Daily",20200716,D,40.74,Dollars per Barrel
78,"Cushing, OK WTI Spot Price FOB, Daily",20200715,D,41.2,Dollars per Barrel
79,"Cushing, OK WTI Spot Price FOB, Daily",20200714,D,40.3,Dollars per Barrel
80,"Cushing, OK WTI Spot Price FOB, Daily",20200713,D,40.06,Dollars per Barrel
81,"Cushing, OK WTI Spot Price FOB, Daily",20200710,D,40.56,Dollars per Barrel
82,"Cushing, OK WTI Spot Price FOB, Daily",20200709,D,39.64,Dollars per Barrel
83,"Cushing, OK WTI Spot Price FOB, Daily",20200708,D,40.91,Dollars per Barrel
84,"Cushing, OK WTI Spot Price FOB, Daily",20200707,D,40.59,Dollars per Barrel
85,"Cushing, OK WTI Spot Price FOB, Daily",20200706,D,40.51,Dollars per Barrel
86,"Cushing, OK WTI Spot Price FOB, Daily",20200703,D,40.57,Dollars per Barrel
87,"Cushing, OK WTI Spot Price FOB, Daily",20200702,D,40.57,Dollars per Barrel
88,"Cushing, OK WTI Spot Price FOB, Daily",20200701,D,39.88,Dollars per Barrel
89,"Cushing, OK WTI Spot Price FOB, Daily",20200630,D,39.27,Dollars per Barrel
90,"Cushing, OK WTI Spot Price FOB, Daily",20200629,D,39.67,Dollars per Barrel
91,"Cushing, OK WTI Spot Price FOB, Daily",20200626,D,38.53,Dollars per Barrel
92,"Cushing, OK WTI Spot Price FOB, Daily",20200625,D,38.66,Dollars per Barrel
93,"Cushing, OK WTI Spot Price FOB, Daily",20200624,D,37.91,Dollars per Barrel
94,"Cushing, OK WTI Spot Price FOB, Daily",20200623,D,40.4,Dollars per Barrel
95,"Cushing, OK WTI Spot Price FOB, Daily",20200622,D,40.6,Dollars per Barrel
96,"Cushing, OK WTI Spot Price FOB, Daily",20200619,D,39.72,Dollars per Barrel
97,"Cushing, OK WTI Spot Price FOB, Daily",20200618,D,38.79,Dollars per Barrel
98,"Cushing, OK WTI Spot Price FOB, Daily",20200617,D,37.91,Dollars per Barrel
99,"Cushing, OK WTI Spot Price FOB, Daily",20200616,D,38.26,Dollars per Barrel
100,"Cushing, OK WTI Spot Price FOB, Daily",20200615,D,37.07,Dollars per Barrel
101,"Cushing, OK WTI Spot Price FOB, Daily",20200612,D,36.24,Dollars per Barrel
102,"Cushing, OK WTI Spot Price FOB, Daily",20200611,D,36.43,Dollars per Barrel
103,"Cushing, OK WTI Spot Price FOB, Daily",20200610,D,39.54,Dollars per Barrel
104,"Cushing, OK WTI Spot Price FOB, Daily",20200609,D,38.98,Dollars per Barrel
105,"Cushing, OK WTI Spot Price FOB, Daily",20200608,D,38.17,Dollars per Barrel
106,"Cushing, OK WTI Spot Price FOB, Daily",20200605,D,39.49,Dollars per Barrel
107,"Cushing, OK WTI Spot Price FOB, Daily",20200604,D,37.42,Dollars per Barrel
108,"Cushing, OK WTI Spot Price FOB, Daily",20200603,D,37.33,Dollars per Barrel
109,"Cushing, OK WTI Spot Price FOB, Daily",20200602,D,36.88,Dollars per Barrel
110,"Cushing, OK WTI Spot Price FOB, Daily",20200601,D,35.49,Dollars per Barrel
111,"Cushing, OK WTI Spot Price FOB, Daily",20200529,D,35.57,Dollars per Barrel
112,"Cushing, OK WTI Spot Price FOB, Daily",20200528,D,33.67,Dollars per Barrel
113,"Cushing, OK WTI Spot Price FOB, Daily",20200527,D,32.8,Dollars per Barrel
114,"Cushing, OK WTI Spot Price FOB, Daily",20200526,D,34.7,Dollars per Barrel
115,"Cushing, OK WTI Spot Price FOB, Daily",20200522,D,33.49,Dollars per Barrel
116,"Cushing, OK WTI Spot Price FOB, Daily",20200521,D,34.3,Dollars per Barrel
