Date,AUD
2019-12-03,1.6186
2019-12-02,1.624
2019-11-29,1.6228
2019-11-28,1.6253
2019-11-27,1.6219999999999999
2019-11-26,1.6251
2019-11-25,1.6232
2019-11-22,1.6287
2019-11-21,1.6282
2019-11-20,1.6227
2019-11-19,1.6234
2019-11-18,1.6242
2019-11-15,1.6221
2019-11-14,1.6213
2019-11-13,1.6127
2019-11-12,1.6087
2019-11-11,1.6105
2019-11-08,1.6065
2019-11-07,1.6059
2019-11-06,1.607
