Date,INR
2019-12-04,79.2615
2019-12-03,79.43
2019-12-02,78.9785
2019-11-29,78.6875
2019-11-28,78.8095
2019-11-27,78.5495
2019-11-26,78.8165
2019-11-25,78.937
2019-11-22,79.271
2019-11-21,79.5675
2019-11-20,79.423
2019-11-19,79.3975
2019-11-18,79.426
2019-11-15,79.163
2019-11-14,79.1
2019-11-13,79.319
2019-11-12,78.969
2019-11-11,78.9905
2019-11-08,78.652
2019-11-07,78.54899999999999
2019-11-06,78.6855
