,Date,Low,High,Open,Close,Volume
47,2020-09-13,219.26,234.74,230.19,222.28,19229.78223092
48,2020-09-12,222.55,230.25,225.44,230.14,11804.64541181
49,2020-09-11,220.34,228.4,227.41,225.33,12690.63129299
50,2020-09-10,224.15,230.83,224.22,227.46,18330.22207821
51,2020-09-09,218.53,228.42,222.4,223.91,17997.23321651
52,2020-09-08,215.9,230.47,228.84,222.3,22512.82082201
53,2020-09-07,215.78,229.88,227.61,228.84,27815.36937001
54,2020-09-06,219.2,233.26,225.85,227.72,22998.847979
55,2020-09-05,214.5,234.96,230.88,225.94,62155.33339997
56,2020-09-04,213.44,239.92,225.44,230.9,54265.48645656
57,2020-09-03,203.93,266.6,264.4,225.43,57168.2127629
58,2020-09-02,246.0,295.33,292.22,264.22,49623.24005935
59,2020-09-01,268.87,297.12,273.56,292.18,36104.61377738
60,2020-08-31,272.98,281.51,279.5,273.46,20632.1781236
61,2020-08-30,267.88,279.5,267.89,279.31,16515.89834538
62,2020-08-29,265.96,272.83,268.68,268.29,16019.99293731
63,2020-08-28,261.19,272.14,264.86,268.66,19147.75031809
64,2020-08-27,258.44,277.19,275.19,264.73,22585.06515707
65,2020-08-26,271.42,279.11,275.79,274.79,17868.01089874
66,2020-08-25,269.0,291.59,290.56,275.68,27307.23804613
67,2020-08-24,282.2,294.85,284.87,290.58,21310.29822817
68,2020-08-23,279.0,288.39,286.88,284.69,11622.20805177
69,2020-08-22,276.04,287.9,282.94,286.75,22834.94531805
70,2020-08-21,281.33,305.43,294.8,282.99,39073.08873759
71,2020-08-20,288.73,296.42,292.75,294.75,26032.82824741
72,2020-08-19,281.02,309.3,303.55,292.71,39513.9980468
73,2020-08-18,300.76,325.36,318.17,303.6,45172.90366315
74,2020-08-17,301.27,325.95,308.43,318.31,62031.60799167
75,2020-08-16,294.04,313.95,302.51,308.36,46950.46667105
76,2020-08-15,291.0,309.06,293.74,302.38,50919.39810399
77,2020-08-14,287.3,298.5,296.15,293.74,31865.88286355
78,2020-08-13,274.37,297.74,284.69,296.15,37668.92954203
79,2020-08-12,271.0,290.4,281.71,284.7,38289.478109
80,2020-08-11,269.69,305.97,302.53,281.71,48813.6711354
81,2020-08-10,285.8,309.99,300.2,302.63,32615.58803172
82,2020-08-09,291.61,309.86,305.4,300.2,26843.09631371
83,2020-08-08,297.87,309.85,302.61,305.4,25014.69122285
84,2020-08-07,278.0,326.73,309.26,302.61,72298.36195042
85,2020-08-06,287.57,319.91,293.84,309.28,49816.52248775
86,2020-08-05,283.99,299.0,288.33,293.97,32740.8778449
87,2020-08-04,281.51,303.23,297.16,288.13,35569.73755736
88,2020-08-03,279.59,304.96,283.97,297.02,42626.76196265
89,2020-08-02,245.0,338.49,319.69,284.08,114584.0310738
90,2020-08-01,298.37,321.9,300.96,319.67,62067.0794112
91,2020-07-31,287.41,306.73,292.01,301.21,39478.45012447
92,2020-07-30,280.91,300.77,287.83,292.0,40300.18852594
93,2020-07-29,284.87,294.99,289.63,287.87,38977.51630501
94,2020-07-28,261.68,297.92,269.04,289.7,85549.38767002
95,2020-07-27,247.38,275.81,247.91,268.91,83557.11146695
96,2020-07-26,244.38,257.92,251.4,247.77,31053.39988018
97,2020-07-25,235.11,253.92,235.59,251.47,39032.67949125
98,2020-07-24,232.63,239.45,238.56,235.37,19675.63482892
99,2020-07-23,235.0,243.77,240.35,238.56,24737.69549737
100,2020-07-22,227.75,240.36,230.52,240.32,28443.86631771
101,2020-07-21,222.3,232.6,222.58,230.62,17152.00834176
102,2020-07-20,220.9,228.6,227.96,222.8,12780.39794707
103,2020-07-19,220.3,228.9,224.26,227.87,10301.40515168
104,2020-07-18,221.75,226.63,222.45,224.33,10247.76013369
105,2020-07-17,221.71,225.27,224.13,222.5,12629.93756486
106,2020-07-16,216.66,227.93,227.42,224.14,19337.20620692
107,2020-07-15,225.7,230.69,230.08,227.24,14790.20956235
108,2020-07-14,226.45,231.78,231.78,230.05,14284.1451259
109,2020-07-13,223.75,237.86,237.66,231.9,31328.06102464
110,2020-07-12,232.0,239.29,236.7,237.57,10853.74318984
111,2020-07-11,234.61,239.26,238.61,236.65,8937.22668421
112,2020-07-10,232.49,240.0,237.97,238.27,13752.43997089
113,2020-07-09,232.78,245.53,243.2,238.18,20437.81084005
114,2020-07-08,236.04,245.97,237.99,243.3,22866.33225892
115,2020-07-07,235.0,244.5,242.44,237.82,18469.25576316
116,2020-07-06,221.8,243.39,222.29,242.29,41164.78949996
117,2020-07-05,215.73,225.92,225.27,222.11,11948.1925139
118,2020-07-04,220.17,230.0,220.5,225.31,13295.43995934
119,2020-07-03,219.15,224.98,219.66,220.69,14866.24776823
120,2020-07-02,217.3,225.6,223.69,219.67,17590.25761605
121,2020-07-01,220.65,226.77,221.93,223.8,16968.54188653
122,2020-06-30,220.4,226.04,225.54,222.03,14342.69165963
123,2020-06-29,218.02,227.4,222.57,225.34,19449.76157267
124,2020-06-28,213.28,225.5,216.26,222.31,19502.56704856
125,2020-06-27,204.26,231.18,230.58,216.27,28336.04514396
126,2020-06-26,227.81,233.51,231.73,230.49,12080.49193833
127,2020-06-25,226.0,234.85,232.55,231.83,14660.11594731
128,2020-06-24,229.2,245.4,240.49,232.43,21556.45781904
129,2020-06-23,239.05,244.3,241.02,240.52,13579.13125201
130,2020-06-22,229.49,244.02,229.99,241.03,19594.20758602
131,2020-06-21,229.5,233.86,232.71,229.99,7787.91371912
132,2020-06-20,228.41,234.78,232.92,232.71,13532.47379498
133,2020-06-19,230.23,236.22,235.59,233.14,12506.28339146
134,2020-06-18,232.17,240.41,240.17,235.93,12323.19832281
135,2020-06-17,235.13,242.94,237.5,240.17,18961.15107447
136,2020-06-16,232.81,239.3,235.89,237.5,16217.41966763
137,2020-06-15,224.22,238.51,237.13,235.77,30953.86130734
138,2020-06-14,235.0,240.86,240.82,237.16,11401.69242497
139,2020-06-13,237.33,242.28,240.69,240.65,10424.43557027
140,2020-06-12,233.0,243.57,234.46,240.72,21736.58186203
141,2020-06-11,230.63,258.33,257.15,234.59,41440.15001333
142,2020-06-10,250.65,259.02,254.16,257.32,22894.75018868
143,2020-06-09,250.38,257.19,255.54,254.16,15360.14513802
144,2020-06-08,251.48,256.63,254.11,255.65,15788.75783194
145,2020-06-07,245.43,255.7,252.98,253.82,18930.22807322
146,2020-06-06,250.97,258.0,255.97,252.98,15295.50894467
147,2020-06-05,254.32,263.5,256.17,255.98,24105.92660345
148,2020-06-04,247.45,260.9,253.23,256.24,28254.81995431
149,2020-06-03,246.25,253.72,250.85,253.24,25149.62215762
150,2020-06-02,242.1,269.23,253.24,250.97,70946.51066462
151,2020-06-01,237.47,255.23,238.5,253.14,33075.83418554
152,2020-05-31,236.18,252.48,252.36,238.54,26637.52130085
153,2020-05-30,236.18,253.47,238.44,252.34,38126.29974909
154,2020-05-29,234.21,243.77,239.93,238.34,18568.26936213
155,2020-05-28,228.77,240.97,232.85,239.95,20718.83466022
156,2020-05-27,227.06,234.54,227.99,232.82,12903.05637133
157,2020-05-26,223.98,231.43,230.32,228.09,15774.8376428
158,2020-05-25,221.01,233.07,222.89,230.45,19372.12926125
159,2020-05-24,222.5,237.51,234.08,222.6,18160.87090274
160,2020-05-23,232.31,240.05,234.74,234.17,16125.82728759
161,2020-05-22,225.01,236.74,227.97,234.73,28295.46956127
162,2020-05-21,220.27,242.79,239.62,227.96,48742.85260793
163,2020-05-20,234.01,247.61,246.93,239.61,29840.85861755
164,2020-05-19,242.38,250.79,248.14,246.94,24309.77055529
165,2020-05-18,240.63,255.55,240.66,248.14,48193.94374973
166,2020-05-17,235.67,245.96,236.01,240.44,19972.3304125
167,2020-05-16,233.43,240.65,234.95,236.52,20103.04255305
168,2020-05-15,230.0,243.4,242.81,235.03,31523.10491021
169,2020-05-14,234.2,245.96,239.76,242.68,38101.51654366
170,2020-05-13,231.98,242.3,233.46,239.78,24030.91809123
171,2020-05-12,227.32,239.52,235.41,233.55,38848.61346264
172,2020-05-11,217.83,238.7,233.05,235.6,75838.88335019
173,2020-05-10,223.52,265.7,265.36,233.15,103693.00240693
174,2020-05-09,258.45,277.44,260.38,265.31,75373.60803661
175,2020-05-08,248.54,265.79,252.55,260.6,49661.83744837
176,2020-05-07,236.87,256.85,241.84,252.54,45679.85518425
177,2020-05-06,240.03,253.93,247.31,241.96,29085.91721372
178,2020-05-05,241.26,252.45,246.22,247.27,22000.14007841
179,2020-05-04,236.66,252.74,252.04,246.16,39152.14667713
180,2020-05-03,246.27,267.85,261.24,251.97,43546.49170525
181,2020-05-02,252.39,261.5,254.82,261.26,19567.94089107
182,2020-05-01,250.0,260.59,250.0,255.01,29979.1369004
183,2020-04-30,245.31,275.95,257.87,250.1,96740.42327028
184,2020-04-29,241.42,263.71,241.65,257.83,81029.38443732
185,2020-04-28,237.5,243.6,243.28,241.65,22581.14115394
186,2020-04-27,234.23,248.2,246.85,243.02,38264.19830135
187,2020-04-26,237.71,249.49,238.34,246.72,31304.02468832
188,2020-04-25,235.15,245.7,238.24,238.26,25394.16392605
189,2020-04-24,234.67,242.46,237.73,238.02,23311.64253309
190,2020-04-23,225.97,247.32,233.5,237.7,60022.42719264
191,2020-04-22,217.79,236.26,219.82,233.25,28717.39408212
192,2020-04-21,215.8,223.8,219.43,219.77,35293.06523968
193,2020-04-20,215.74,238.69,231.73,219.36,57678.77249024
194,2020-04-19,229.29,245.23,244.14,231.74,34806.11591455
195,2020-04-18,231.91,249.21,231.91,244.11,45266.58253963
196,2020-04-17,229.58,237.25,235.27,232.23,31300.2479062
197,2020-04-16,206.26,240.44,214.99,235.19,84497.70445397
198,2020-04-15,213.77,225.5,223.34,215.16,28264.62533129
199,2020-04-14,220.19,228.96,224.35,223.41,33002.54304184
200,2020-04-13,216.0,233.59,233.59,224.42,68375.7163179
201,2020-04-12,227.37,245.65,233.58,233.65,36222.44422336
202,2020-04-11,222.2,241.59,233.27,233.38,45443.12404579
203,2020-04-10,226.01,259.43,256.36,233.16,95280.78121782
