Date,HKD
2019-12-02,8.6297
2019-11-29,8.5954
2019-11-28,8.6136
2019-11-27,8.6176
2019-11-26,8.6256
2019-11-25,8.6164
2019-11-22,8.6525
2019-11-21,8.6739
2019-11-20,8.6549
2019-11-19,8.6709
2019-11-18,8.6593
2019-11-15,8.6361
2019-11-14,8.6098
2019-11-13,8.6204
2019-11-12,8.6202
2019-11-11,8.6422
2019-11-08,8.6372
2019-11-07,8.6689
2019-11-06,8.6786
