,Series Name,Period,Frequency,Value,Units
69,"Cushing, OK WTI Spot Price FOB, Daily",20200720,D,40.83,Dollars per Barrel
70,"Cushing, OK WTI Spot Price FOB, Daily",20200717,D,40.55,Dollars per Barrel
71,"Cushing, OK WTI Spot Price FOB, Daily",20200716,D,40.74,Dollars per Barrel
72,"Cushing, OK WTI Spot Price FOB, Daily",20200715,D,41.2,Dollars per Barrel
73,"Cushing, OK WTI Spot Price FOB, Daily",20200714,D,40.3,Dollars per Barrel
74,"Cushing, OK WTI Spot Price FOB, Daily",20200713,D,40.06,Dollars per Barrel
75,"Cushing, OK WTI Spot Price FOB, Daily",20200710,D,40.56,Dollars per Barrel
76,"Cushing, OK WTI Spot Price FOB, Daily",20200709,D,39.64,Dollars per Barrel
77,"Cushing, OK WTI Spot Price FOB, Daily",20200708,D,40.91,Dollars per Barrel
78,"Cushing, OK WTI Spot Price FOB, Daily",20200707,D,40.59,Dollars per Barrel
79,"Cushing, OK WTI Spot Price FOB, Daily",20200706,D,40.51,Dollars per Barrel
80,"Cushing, OK WTI Spot Price FOB, Daily",20200703,D,40.57,Dollars per Barrel
81,"Cushing, OK WTI Spot Price FOB, Daily",20200702,D,40.57,Dollars per Barrel
82,"Cushing, OK WTI Spot Price FOB, Daily",20200701,D,39.88,Dollars per Barrel
83,"Cushing, OK WTI Spot Price FOB, Daily",20200630,D,39.27,Dollars per Barrel
84,"Cushing, OK WTI Spot Price FOB, Daily",20200629,D,39.67,Dollars per Barrel
85,"Cushing, OK WTI Spot Price FOB, Daily",20200626,D,38.53,Dollars per Barrel
86,"Cushing, OK WTI Spot Price FOB, Daily",20200625,D,38.66,Dollars per Barrel
87,"Cushing, OK WTI Spot Price FOB, Daily",20200624,D,37.91,Dollars per Barrel
88,"Cushing, OK WTI Spot Price FOB, Daily",20200623,D,40.4,Dollars per Barrel
89,"Cushing, OK WTI Spot Price FOB, Daily",20200622,D,40.6,Dollars per Barrel
90,"Cushing, OK WTI Spot Price FOB, Daily",20200619,D,39.72,Dollars per Barrel
91,"Cushing, OK WTI Spot Price FOB, Daily",20200618,D,38.79,Dollars per Barrel
92,"Cushing, OK WTI Spot Price FOB, Daily",20200617,D,37.91,Dollars per Barrel
93,"Cushing, OK WTI Spot Price FOB, Daily",20200616,D,38.26,Dollars per Barrel
94,"Cushing, OK WTI Spot Price FOB, Daily",20200615,D,37.07,Dollars per Barrel
95,"Cushing, OK WTI Spot Price FOB, Daily",20200612,D,36.24,Dollars per Barrel
96,"Cushing, OK WTI Spot Price FOB, Daily",20200611,D,36.43,Dollars per Barrel
97,"Cushing, OK WTI Spot Price FOB, Daily",20200610,D,39.54,Dollars per Barrel
98,"Cushing, OK WTI Spot Price FOB, Daily",20200609,D,38.98,Dollars per Barrel
99,"Cushing, OK WTI Spot Price FOB, Daily",20200608,D,38.17,Dollars per Barrel
100,"Cushing, OK WTI Spot Price FOB, Daily",20200605,D,39.49,Dollars per Barrel
101,"Cushing, OK WTI Spot Price FOB, Daily",20200604,D,37.42,Dollars per Barrel
102,"Cushing, OK WTI Spot Price FOB, Daily",20200603,D,37.33,Dollars per Barrel
103,"Cushing, OK WTI Spot Price FOB, Daily",20200602,D,36.88,Dollars per Barrel
104,"Cushing, OK WTI Spot Price FOB, Daily",20200601,D,35.49,Dollars per Barrel
105,"Cushing, OK WTI Spot Price FOB, Daily",20200529,D,35.57,Dollars per Barrel
106,"Cushing, OK WTI Spot Price FOB, Daily",20200528,D,33.67,Dollars per Barrel
107,"Cushing, OK WTI Spot Price FOB, Daily",20200527,D,32.8,Dollars per Barrel
108,"Cushing, OK WTI Spot Price FOB, Daily",20200526,D,34.7,Dollars per Barrel
109,"Cushing, OK WTI Spot Price FOB, Daily",20200522,D,33.49,Dollars per Barrel
110,"Cushing, OK WTI Spot Price FOB, Daily",20200521,D,34.3,Dollars per Barrel
111,"Cushing, OK WTI Spot Price FOB, Daily",20200520,D,33.56,Dollars per Barrel
112,"Cushing, OK WTI Spot Price FOB, Daily",20200519,D,32.3,Dollars per Barrel
113,"Cushing, OK WTI Spot Price FOB, Daily",20200518,D,31.83,Dollars per Barrel
114,"Cushing, OK WTI Spot Price FOB, Daily",20200515,D,29.44,Dollars per Barrel
115,"Cushing, OK WTI Spot Price FOB, Daily",20200514,D,27.4,Dollars per Barrel
116,"Cushing, OK WTI Spot Price FOB, Daily",20200513,D,25.37,Dollars per Barrel
117,"Cushing, OK WTI Spot Price FOB, Daily",20200512,D,25.76,Dollars per Barrel
118,"Cushing, OK WTI Spot Price FOB, Daily",20200511,D,24.02,Dollars per Barrel
119,"Cushing, OK WTI Spot Price FOB, Daily",20200508,D,24.73,Dollars per Barrel
120,"Cushing, OK WTI Spot Price FOB, Daily",20200507,D,23.68,Dollars per Barrel
121,"Cushing, OK WTI Spot Price FOB, Daily",20200506,D,23.88,Dollars per Barrel
122,"Cushing, OK WTI Spot Price FOB, Daily",20200505,D,24.56,Dollars per Barrel
123,"Cushing, OK WTI Spot Price FOB, Daily",20200504,D,20.47,Dollars per Barrel
124,"Cushing, OK WTI Spot Price FOB, Daily",20200501,D,19.72,Dollars per Barrel
125,"Cushing, OK WTI Spot Price FOB, Daily",20200430,D,19.23,Dollars per Barrel
126,"Cushing, OK WTI Spot Price FOB, Daily",20200429,D,15.04,Dollars per Barrel
127,"Cushing, OK WTI Spot Price FOB, Daily",20200428,D,12.4,Dollars per Barrel
128,"Cushing, OK WTI Spot Price FOB, Daily",20200427,D,12.17,Dollars per Barrel
129,"Cushing, OK WTI Spot Price FOB, Daily",20200424,D,15.99,Dollars per Barrel
130,"Cushing, OK WTI Spot Price FOB, Daily",20200423,D,15.06,Dollars per Barrel
131,"Cushing, OK WTI Spot Price FOB, Daily",20200422,D,13.64,Dollars per Barrel
132,"Cushing, OK WTI Spot Price FOB, Daily",20200421,D,8.91,Dollars per Barrel
133,"Cushing, OK WTI Spot Price FOB, Daily",20200420,D,-36.98,Dollars per Barrel
134,"Cushing, OK WTI Spot Price FOB, Daily",20200417,D,18.31,Dollars per Barrel
135,"Cushing, OK WTI Spot Price FOB, Daily",20200416,D,19.82,Dollars per Barrel
136,"Cushing, OK WTI Spot Price FOB, Daily",20200415,D,19.96,Dollars per Barrel
137,"Cushing, OK WTI Spot Price FOB, Daily",20200414,D,20.15,Dollars per Barrel
138,"Cushing, OK WTI Spot Price FOB, Daily",20200413,D,22.36,Dollars per Barrel
139,"Cushing, OK WTI Spot Price FOB, Daily",20200409,D,22.9,Dollars per Barrel
140,"Cushing, OK WTI Spot Price FOB, Daily",20200408,D,24.97,Dollars per Barrel
141,"Cushing, OK WTI Spot Price FOB, Daily",20200407,D,23.54,Dollars per Barrel
142,"Cushing, OK WTI Spot Price FOB, Daily",20200406,D,26.21,Dollars per Barrel
143,"Cushing, OK WTI Spot Price FOB, Daily",20200403,D,28.36,Dollars per Barrel
144,"Cushing, OK WTI Spot Price FOB, Daily",20200402,D,25.18,Dollars per Barrel
145,"Cushing, OK WTI Spot Price FOB, Daily",20200401,D,20.28,Dollars per Barrel
146,"Cushing, OK WTI Spot Price FOB, Daily",20200331,D,20.51,Dollars per Barrel
147,"Cushing, OK WTI Spot Price FOB, Daily",20200330,D,14.1,Dollars per Barrel
148,"Cushing, OK WTI Spot Price FOB, Daily",20200327,D,15.48,Dollars per Barrel
149,"Cushing, OK WTI Spot Price FOB, Daily",20200326,D,16.6,Dollars per Barrel
150,"Cushing, OK WTI Spot Price FOB, Daily",20200325,D,20.75,Dollars per Barrel
151,"Cushing, OK WTI Spot Price FOB, Daily",20200324,D,21.03,Dollars per Barrel
152,"Cushing, OK WTI Spot Price FOB, Daily",20200323,D,23.33,Dollars per Barrel
153,"Cushing, OK WTI Spot Price FOB, Daily",20200320,D,19.48,Dollars per Barrel
154,"Cushing, OK WTI Spot Price FOB, Daily",20200319,D,25.09,Dollars per Barrel
155,"Cushing, OK WTI Spot Price FOB, Daily",20200318,D,20.48,Dollars per Barrel
156,"Cushing, OK WTI Spot Price FOB, Daily",20200317,D,26.96,Dollars per Barrel
157,"Cushing, OK WTI Spot Price FOB, Daily",20200316,D,28.96,Dollars per Barrel
158,"Cushing, OK WTI Spot Price FOB, Daily",20200313,D,31.72,Dollars per Barrel
159,"Cushing, OK WTI Spot Price FOB, Daily",20200312,D,31.56,Dollars per Barrel
160,"Cushing, OK WTI Spot Price FOB, Daily",20200311,D,33.13,Dollars per Barrel
161,"Cushing, OK WTI Spot Price FOB, Daily",20200310,D,34.47,Dollars per Barrel
162,"Cushing, OK WTI Spot Price FOB, Daily",20200309,D,31.05,Dollars per Barrel
163,"Cushing, OK WTI Spot Price FOB, Daily",20200306,D,41.14,Dollars per Barrel
164,"Cushing, OK WTI Spot Price FOB, Daily",20200305,D,45.9,Dollars per Barrel
165,"Cushing, OK WTI Spot Price FOB, Daily",20200304,D,46.78,Dollars per Barrel
166,"Cushing, OK WTI Spot Price FOB, Daily",20200303,D,47.27,Dollars per Barrel
167,"Cushing, OK WTI Spot Price FOB, Daily",20200302,D,46.78,Dollars per Barrel
