,Series Name,Period,Frequency,Value,Units
69,"U.S. Ending Stocks of Crude Oil, Weekly",20190628,W,1113309,Thousand Barrels
70,"U.S. Ending Stocks of Crude Oil, Weekly",20190621,W,1114394,Thousand Barrels
71,"U.S. Ending Stocks of Crude Oil, Weekly",20190614,W,1127182,Thousand Barrels
72,"U.S. Ending Stocks of Crude Oil, Weekly",20190607,W,1130288,Thousand Barrels
73,"U.S. Ending Stocks of Crude Oil, Weekly",20190531,W,1128082,Thousand Barrels
74,"U.S. Ending Stocks of Crude Oil, Weekly",20190524,W,1121311,Thousand Barrels
75,"U.S. Ending Stocks of Crude Oil, Weekly",20190517,W,1121593,Thousand Barrels
76,"U.S. Ending Stocks of Crude Oil, Weekly",20190510,W,1117988,Thousand Barrels
77,"U.S. Ending Stocks of Crude Oil, Weekly",20190503,W,1114321,Thousand Barrels
78,"U.S. Ending Stocks of Crude Oil, Weekly",20190426,W,1119154,Thousand Barrels
79,"U.S. Ending Stocks of Crude Oil, Weekly",20190419,W,1109759,Thousand Barrels
80,"U.S. Ending Stocks of Crude Oil, Weekly",20190412,W,1104280,Thousand Barrels
81,"U.S. Ending Stocks of Crude Oil, Weekly",20190405,W,1105676,Thousand Barrels
82,"U.S. Ending Stocks of Crude Oil, Weekly",20190329,W,1098647,Thousand Barrels
83,"U.S. Ending Stocks of Crude Oil, Weekly",20190322,W,1091409,Thousand Barrels
84,"U.S. Ending Stocks of Crude Oil, Weekly",20190315,W,1088609,Thousand Barrels
85,"U.S. Ending Stocks of Crude Oil, Weekly",20190308,W,1098198,Thousand Barrels
86,"U.S. Ending Stocks of Crude Oil, Weekly",20190301,W,1102060,Thousand Barrels
87,"U.S. Ending Stocks of Crude Oil, Weekly",20190222,W,1095004,Thousand Barrels
88,"U.S. Ending Stocks of Crude Oil, Weekly",20190215,W,1103651,Thousand Barrels
89,"U.S. Ending Stocks of Crude Oil, Weekly",20190208,W,1099979,Thousand Barrels
90,"U.S. Ending Stocks of Crude Oil, Weekly",20190201,W,1096346,Thousand Barrels
91,"U.S. Ending Stocks of Crude Oil, Weekly",20190125,W,1095083,Thousand Barrels
92,"U.S. Ending Stocks of Crude Oil, Weekly",20190118,W,1094164,Thousand Barrels
93,"U.S. Ending Stocks of Crude Oil, Weekly",20190111,W,1086194,Thousand Barrels
94,"U.S. Ending Stocks of Crude Oil, Weekly",20190104,W,1088877,Thousand Barrels
95,"U.S. Ending Stocks of Crude Oil, Weekly",20181228,W,1090557,Thousand Barrels
96,"U.S. Ending Stocks of Crude Oil, Weekly",20181221,W,1090550,Thousand Barrels
97,"U.S. Ending Stocks of Crude Oil, Weekly",20181214,W,1090594,Thousand Barrels
98,"U.S. Ending Stocks of Crude Oil, Weekly",20181207,W,1091517,Thousand Barrels
99,"U.S. Ending Stocks of Crude Oil, Weekly",20181130,W,1092723,Thousand Barrels
100,"U.S. Ending Stocks of Crude Oil, Weekly",20181123,W,1101049,Thousand Barrels
101,"U.S. Ending Stocks of Crude Oil, Weekly",20181116,W,1099477,Thousand Barrels
102,"U.S. Ending Stocks of Crude Oil, Weekly",20181109,W,1095386,Thousand Barrels
103,"U.S. Ending Stocks of Crude Oil, Weekly",20181102,W,1086487,Thousand Barrels
104,"U.S. Ending Stocks of Crude Oil, Weekly",20181026,W,1080939,Thousand Barrels
105,"U.S. Ending Stocks of Crude Oil, Weekly",20181019,W,1079263,Thousand Barrels
106,"U.S. Ending Stocks of Crude Oil, Weekly",20181012,W,1074075,Thousand Barrels
107,"U.S. Ending Stocks of Crude Oil, Weekly",20181005,W,1068655,Thousand Barrels
108,"U.S. Ending Stocks of Crude Oil, Weekly",20180928,W,1063974,Thousand Barrels
109,"U.S. Ending Stocks of Crude Oil, Weekly",20180921,W,1055999,Thousand Barrels
110,"U.S. Ending Stocks of Crude Oil, Weekly",20180914,W,1054147,Thousand Barrels
111,"U.S. Ending Stocks of Crude Oil, Weekly",20180907,W,1056205,Thousand Barrels
112,"U.S. Ending Stocks of Crude Oil, Weekly",20180831,W,1061502,Thousand Barrels
113,"U.S. Ending Stocks of Crude Oil, Weekly",20180824,W,1065804,Thousand Barrels
114,"U.S. Ending Stocks of Crude Oil, Weekly",20180817,W,1068370,Thousand Barrels
115,"U.S. Ending Stocks of Crude Oil, Weekly",20180810,W,1074207,Thousand Barrels
116,"U.S. Ending Stocks of Crude Oil, Weekly",20180803,W,1067402,Thousand Barrels
117,"U.S. Ending Stocks of Crude Oil, Weekly",20180727,W,1068754,Thousand Barrels
118,"U.S. Ending Stocks of Crude Oil, Weekly",20180720,W,1064951,Thousand Barrels
119,"U.S. Ending Stocks of Crude Oil, Weekly",20180713,W,1071098,Thousand Barrels
120,"U.S. Ending Stocks of Crude Oil, Weekly",20180706,W,1065263,Thousand Barrels
121,"U.S. Ending Stocks of Crude Oil, Weekly",20180629,W,1077897,Thousand Barrels
122,"U.S. Ending Stocks of Crude Oil, Weekly",20180622,W,1076652,Thousand Barrels
123,"U.S. Ending Stocks of Crude Oil, Weekly",20180615,W,1086543,Thousand Barrels
124,"U.S. Ending Stocks of Crude Oil, Weekly",20180608,W,1092609,Thousand Barrels
125,"U.S. Ending Stocks of Crude Oil, Weekly",20180601,W,1096752,Thousand Barrels
126,"U.S. Ending Stocks of Crude Oil, Weekly",20180525,W,1095289,Thousand Barrels
127,"U.S. Ending Stocks of Crude Oil, Weekly",20180518,W,1099468,Thousand Barrels
128,"U.S. Ending Stocks of Crude Oil, Weekly",20180511,W,1094391,Thousand Barrels
129,"U.S. Ending Stocks of Crude Oil, Weekly",20180504,W,1097315,Thousand Barrels
130,"U.S. Ending Stocks of Crude Oil, Weekly",20180427,W,1100221,Thousand Barrels
131,"U.S. Ending Stocks of Crude Oil, Weekly",20180420,W,1094455,Thousand Barrels
132,"U.S. Ending Stocks of Crude Oil, Weekly",20180413,W,1093023,Thousand Barrels
133,"U.S. Ending Stocks of Crude Oil, Weekly",20180406,W,1094094,Thousand Barrels
134,"U.S. Ending Stocks of Crude Oil, Weekly",20180330,W,1090788,Thousand Barrels
135,"U.S. Ending Stocks of Crude Oil, Weekly",20180323,W,1095407,Thousand Barrels
136,"U.S. Ending Stocks of Crude Oil, Weekly",20180316,W,1093764,Thousand Barrels
137,"U.S. Ending Stocks of Crude Oil, Weekly",20180309,W,1096386,Thousand Barrels
